OE0008a;Katnr;Kurz;Lang;Startgeld;Wertung;G;Alter von;Alter bis;Startgeld2;Typ 1;Typ 2;Kategorie Zusatztext;Startgeld/Etappe;E1 Max. Teilnehmer;E2 Max. Teilnehmer;E3 Max. Teilnehmer;E4 Max. Teilnehmer;E5 Max. Teilnehmer;E6 Max. Teilnehmer
;50;"D13";"Damen -13";"3,00";"X";"F";;;"";0;0;"";"";;;;;;
;51;"D15";"Damen -15";"3,00";"X";"F";;;"";0;0;"";"";;;;;;
;52;"D18";"Damen -18";"4,50";"X";"F";;;"";0;0;"";"";;;;;;
;53;"D19";"Damen 19-";"4,50";"X";"F";;;"";0;0;"";"";;;;;;
;54;"D35";"Damen 35-";"4,50";"X";"F";;;"";0;0;"";"";;;;;;
;55;"D45";"Damen 45-";"4,50";"X";"F";;;"";0;0;"";"";;;;;;
;56;"D55";"Damen 55-";"4,50";"X";"F";;;"";0;0;"";"";;;;;;
;60;"H13";"Herren -13";"3,00";"X";"M";;;"";0;0;"";"";;;;;;
;61;"H15";"Herren -15";"3,00";"X";"M";;;"";0;0;"";"";;;;;;
;62;"H18";"Herren -18";"4,50";"X";"M";;;"";0;0;"";"";;;;;;
;63;"H19";"Herren 19-";"4,50";"X";"M";;;"";0;0;"";"";;;;;;
;64;"H35";"Herren 35-";"4,50";"X";"M";;;"";0;0;"";"";;;;;;
;65;"H45";"Herren 45-";"4,50";"X";"M";;;"";0;0;"";"";;;;;;
;66;"H55";"Herren 55-";"4,50";"X";"M";;;"";0;0;"";"";;;;;;
;67;"H65";"Herren 65-";"4,50";"X";"M";;;"";0;0;"";"";;;;;;
;70;"OK";"Offen Kurz";"3,00";"X";"M";;;"";0;0;"";"";;;;;;
;71;"OL";"Offen Lang";"3,00";"X";"M";;;"";0;0;"";"";;;;;;
;72;"Fam";"Family";"5,00";"X";"M";;;"";0;0;"";"";;;;;;
